Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Missouri,USA,530,9,0,521,2020-03-27 03:00:00 * CTY: St. Louis 173; St. Louis City 69; Kansas City 64; Boone 37; Jackson 31; Greene 25; St. Charles 24; Jefferson 10; TBD 10; Cole 8; Johnson 8; Cass 8; Clay 5; Platte 5; Perry 4; Pulaski 4; Franklin 4; Newton 3; Cape Girardeau 3; Christian 2; St. Francois 2; Lafayette 2; Moniteau 2; Montgomery 2; Dunklin 2; Callaway 2; Jasper 2; Atchison 1; Clinton 1; Pemiscot 1; Bollinger 1; Adair 1; Camden 1; Cooper 1; Henry 1; Randolph 1; Lincoln 1; Scott 1; Ralls 1; McDonald 1; Shelby 1; Bates 1; Carter 1; Stoddard 1; Benton 1; Taney 1
Arizona,USA,508,8,0,500,2020-03-27 03:00:00 * CTY: Maricopa 299; Pima 75; Navajo 43; Pinal 35; Coconino 28; Apache 9; Yavapai 5; Yuma 4; Santa Cruz 2; Cochise 2; Mohave 2; Graham 2; La Paz 2
Egypt,Egypt,495,24,102,369,3/26/20 22:00
Croatia,Croatia,495,2,22,471,3/26/20 17:00
Colombia,Colombia,491,6,8,477,2020-03-27 01:00:00 * States Bogotá D.C. 170 Cundinamarca 21 Antioquia 59 Valle del Cauca 71 Bolívar 26 Atlántico 12 Magdalena 5 Cesar 2 Norte de Santander 15 Santander 4 Cauca 9 Caldas 10 Risaralda 19 Quindío 12 Huila 14 Tolima 9 Meta 8 Casanare 1 San Andrés y Providencia 1 Nariño 1 Boyacá 1. Source: @HeidyBello
Dominican Republic,Dominican Republic,488,10,3,475,3/26/20 22:00
Mississippi,USA,485,6,0,479,2020-03-27 03:00:00 * CTY: DeSoto 49; Hinds 43; Harrison 31; Rankin 23; Madison 21; Coahoma 17; Forrest 16; Jackson 16; Pearl River 16; Lee 15; Tippah 14; Leflore 13; Pike 12; Lafayette 10; Oktibbeha 10; Washington 9; Copiah 8; Lowndes 8; Wilkinson 8; Marshall 7; Attala 7; Chickasaw 7; Holmes 7; Lincoln 6; Hancock 6; Tate 6; Bolivar 6; Lawrence 5; Tunica 5; Montgomery 4; Choctaw 4; Lamar 4; Scott 4; Walthall 4; Sunflower 4; Panola 4; Leake 4; Calhoun 3; Pontotoc 3; Winston 3; Monroe 3; Lauderdale 3; Adams 3; Yazoo 3; Yalobusha 3; Itawamba 3; Union 2; Tallahatchie 2; Franklin 2; Grenada 2; Quitman 2; Webster 2; Clay 1; Jones 1; Prentiss 1; Noxubee 1; George 1; Amite 1; Humphreys 1; Simpson 1; Benton 1; Newton 1; Perry 1; Marion 1; Smith 1
Heilongjiang,Mainland China,484,13,469,2,3/26/20 1:00
Mexico,Mexico,475,6,4,465,3/26/20 16:00
Virginia,USA,471,14,0,457,2020-03-27 03:00:00 * CTY: Fairfax 79; Arlington 54; James City 49; Prince William 36; Loudoun 28; Virginia Beach 26; Henrico 21; Richmond City 14; Alexandria 14; Chesterfield 12; Stafford 11; Charlottesville 9; York 9; Newport News 8; Albemarle 6; Norfolk 6; Williamsburg 5; Chesapeake 4; Louisa 4; Shenandoah 3; Spotsylvania 3; Portsmouth City 3; Rockingham 3; Bedford 3; Manassas City 3; Goochland 3; Harrisonburg 3; Fluvanna 3; Mecklenburg 3; Lynchburg 2; Lee 2; Northumberland 2; Accomack 2; Gloucester 2; Danville 2; Culpeper 2; Prince Edward 2; Isle of Wight 2; Rockbridge 2; Frederick 2; Hanover 2; Fredericksburg 1; Amelia 1; Franklin 1; Warren 1; Amherst 1; Halifax 1; Hampton 1; Madison 1; Radford 1; Fauquier 1; Orange 1; Suffolk 1; Mathews 1; Poquoson 1; Nelson 1; Fairfax City 1; Washington 1; Pittsylvania 1; Charles City 1; Nottoway 1; Roanoke 1; Botetourt 1
Bahrain,Bahrain,458,4,204,250,3/26/20 22:00
Serbia,Serbia,457,1,0,456,3/27/20 1:00
South Carolina,USA,456,9,0,447,2020-03-27 03:00:00 * CTY: Kershaw 64; Richland 60; Charleston 60; Greenville 51; Beaufort 29; Anderson 21; Horry 21; Lexington 20; York 19; Orangeburg 11; Sumter 10; Spartanburg 9; Darlington 8; Berkeley 8; Lancaster 7; Pickens 6; Florence 5; Clarendon 5; Dorchester 4; Aiken 4; Abbeville 4; Fairfield 4; Chesterfield 3; Jasper 3; Georgetown 3; Oconee 2; Lee 2; Greenwood 2; Dillon 1; Edgefield 1; Marlboro 1; Newberry 1; Calhoun 1; Colleton 1; Saluda 1; Union 1; Williamsburg 1; Marion 1; Chester 1
Hong Kong,Hong Kong,453,4,110,339,3/26/20 11:00
